SMILES,ChEMBL_ID,IC50,pIC50,MW,LogP,QED,SAS,SELFIES
CC1(C)CN(c2ncnc3sc(C(=O)NCC4CCNCC4)nc23)c2ccccc21,CHEMBL5183975,8.5,-0.9294189257142927,422.5580000000002,3.245000000000002,0.671643336560534,2.9910724412262546,[C][C][Branch1][C][C][C][N][Branch2][Ring1][#C][C][=N][C][=N][C][S][C][Branch1][#C][C][=Branch1][C][=O][N][C][C][C][C][N][C][C][Ring1][=Branch1][=N][C][Ring2][Ring1][Ring1][=Ring1][#C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][=N]
CC1(C)NC(=O)c2ccc(Nc3ccncn3)c(=O)n21,CHEMBL4071021,3800.0,-3.57978359661681,271.28000000000003,0.8179,0.8437022415885059,3.155139421765065,[C][C][Branch1][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][#Branch2][N][C][=C][C][=N][C][=N][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][=C][Ring2][Ring1][Ring1]
CC1(C)O[C@@H]2[C@H](O1)[C@@H](COP(=O)([O-])O)O[C@H]2n1c[n+](CCOc2ccc(Cl)cc2)c2c(=O)[nH]c(N)nc21,CHEMBL2046915,0.051,1.2924298239020637,557.884,0.22150000000000042,0.2538096089736453,4.871732731185249,[C][C][Branch1][C][C][O][C@@H1][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C@@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][O][C@H1][Ring1][N][N][C][=N+1][Branch1][#C][C][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][C][=Branch1][C][=O][NH1][C][Branch1][C][N][=N][C][=Ring1][Branch2][Ring2][Ring1][Branch1]
CCN(C)CCCNC(=O)c1ccc(-c2ccc(-c3nc(-c4ccc(Cl)c(Cl)c4)cs3)cc2C(=O)O)cc1,CHEMBL3659406,80000.0,-4.903089986991944,568.5260000000003,7.220700000000006,0.19751901287284163,2.4721479007473555,[C][C][N][Branch1][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][Branch2][C][=N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][=C][S][Ring1][=N][C][=C][Ring2][Ring1][Ring1][C][=Branch1][C][=O][O][C][=C][Ring2][Ring1][N]
CCN(CC)CCCNC(=O)c1ccc(-c2ccc(-c3nc(-c4ccc(Cl)c(Cl)c4)cs3)cc2C(=O)O)cc1,CHEMBL3659405,80000.0,-4.903089986991944,582.5530000000003,7.610800000000006,0.17798810731603767,2.4745334962850833,[C][C][N][Branch1][Ring1][C][C][C][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][Branch2][C][=N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][=C][S][Ring1][=N][C][=C][Ring2][Ring1][Ring1][C][=Branch1][C][=O][O][C][=C][Ring2][Ring1][N]
CCOP(=O)(O)c1ccc(-c2nc3nc(NC)[nH]c(=O)c3n2CCOc2ccc(Cl)cc2)cc1,CHEMBL2046920,1.35,-0.13033376849500614,503.88300000000027,3.4079000000000015,0.2960772164128128,3.4297947402654527,[C][C][O][P][=Branch1][C][=O][Branch1][C][O][C][=C][C][=C][Branch2][Ring2][Ring1][C][=N][C][N][=C][Branch1][Ring1][N][C][NH1][C][=Branch1][C][=O][C][=Ring1][=Branch2][N][Ring1][N][C][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][N]
CCOP(=O)(OCC)c1ccc(-c2nc3nc(NC)[nH]c(=O)c3n2CCOc2ccc(Cl)cc2)cc1,CHEMBL2046919,300.0,-2.4771212547196626,531.9370000000002,4.452100000000003,0.2722868645728861,3.0521267927212206,[C][C][O][P][=Branch1][C][=O][Branch1][Ring2][O][C][C][C][=C][C][=C][Branch2][Ring2][Ring1][C][=N][C][N][=C][Branch1][Ring1][N][C][NH1][C][=Branch1][C][=O][C][=Ring1][=Branch2][N][Ring1][N][C][C][O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][N]
CCOc1ccc(-c2ccc(-c3nc(-c4ccc(Cl)c(Cl)c4)cs3)cc2C(=O)O)c(Cl)c1,CHEMBL3659445,2000.0,-3.3010299956639813,504.8220000000001,8.201200000000004,0.28734003322014867,2.313667896242091,[C][C][O][C][=C][C][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][Branch2][C][=N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][=C][S][Ring1][=N][C][=C][Ring2][Ring1][Ring1][C][=Branch1][C][=O][O][C][Branch1][C][Cl][=C][Ring2][Ring1][=N]
CCOc1ccc(-n2c(SCC(=O)O)nnc2-c2cccnc2)cc1,CHEMBL5269922,,,356.40700000000004,2.904700000000001,0.6509614063401538,2.082499313099719,[C][C][O][C][=C][C][=C][Branch2][Ring1][=Branch2][N][C][Branch1][Branch2][S][C][C][=Branch1][C][=O][O][=N][N][=C][Ring1][#Branch2][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][=Branch1]
CCOc1ncc(-c2ccc(-c3nc(-c4ccc(Cl)c(Cl)c4)cs3)cc2C(=O)O)cn1,CHEMBL3659438,3600.0,-3.5563025007672873,472.3530000000002,6.337800000000004,0.35267722136099117,2.490457724581418,[C][C][O][C][=N][C][=C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][Branch2][C][=N][C][Branch1][#C][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][=C][S][Ring1][=N][C][=C][Ring2][Ring1][Ring1][C][=Branch1][C][=O][O][C][=N][Ring2][Ring1][N]
